country,iso_code,date,daily_vaccinations_per_million
Afghanistan,AFG,2022-03-01,378.0
Albania,ALB,2022-03-01,967.0
Algeria,DZA,2022-03-01,97.0
Andorra,AND,2022-03-01,440.0
Angola,AGO,2022-03-01,1376.0
Anguilla,AIA,2022-03-01,2314.0
Antigua and Barbuda,ATG,2022-03-01,658.0
Argentina,ARG,2022-03-01,2417.0
Armenia,ARM,2022-03-01,2028.0
Aruba,ABW,2022-03-01,299.0
Australia,AUS,2022-03-01,3645.0
Austria,AUT,2022-03-01,596.0
Azerbaijan,AZE,2022-03-01,2529.0
Bahamas,BHS,2022-03-01,655.0
Bahrain,BHR,2022-03-01,800.0
Bangladesh,BGD,2022-03-01,22600.0
Barbados,BRB,2022-03-01,365.0
Belarus,BLR,2022-03-01,3006.0
Belgium,BEL,2022-03-01,2033.0
Belize,BLZ,2022-03-01,938.0
Benin,BEN,2022-03-01,1559.0
Bermuda,BMU,2022-03-01,1578.0
Bhutan,BTN,2022-03-01,4883.0
Bolivia,BOL,2022-03-01,1187.0
Botswana,BWA,2022-03-01,1606.0
Brazil,BRA,2022-03-01,3805.0
British Virgin Islands,VGB,2022-03-01,394.0
Brunei,BRN,2022-03-01,3918.0
Bulgaria,BGR,2022-03-01,418.0
Burkina Faso,BFA,2022-03-01,70.0
Burundi,BDI,2022-03-01,4.0
Cambodia,KHM,2022-03-01,8864.0
Cameroon,CMR,2022-03-01,26.0
Canada,CAN,2022-03-01,2492.0
Cape Verde,CPV,2022-03-01,2760.0
Cayman Islands,CYM,2022-03-01,932.0
Central African Republic,CAF,2022-03-01,1136.0
Chad,TCD,2022-03-01,35.0
Chile,CHL,2022-03-01,4490.0
China,CHN,2022-03-01,3940.0
Colombia,COL,2022-03-01,2203.0
Comoros,COM,2022-03-01,0.0
Congo,COG,2022-03-01,37.0
Cook Islands,COK,2022-03-01,1024.0
Costa Rica,CRI,2022-03-01,9953.0
Cote d'Ivoire,CIV,2022-03-01,1171.0
Croatia,HRV,2022-03-01,406.0
Cuba,CUB,2022-03-01,1371.0
Curacao,CUW,2022-03-01,619.0
Czechia,CZE,2022-03-01,561.0
Democratic Republic of Congo,COD,2022-03-01,92.0
Denmark,DNK,2022-03-01,320.0
Djibouti,DJI,2022-03-01,376.0
Dominica,DMA,2022-03-01,360.0
Dominican Republic,DOM,2022-03-01,798.0
Ecuador,ECU,2022-03-01,2606.0
Egypt,EGY,2022-03-01,1945.0
El Salvador,SLV,2022-03-01,1595.0
England,OWID_ENG,2022-03-01,689.0
Equatorial Guinea,GNQ,2022-03-01,247.0
Estonia,EST,2022-03-01,606.0
Eswatini,SWZ,2022-03-01,670.0
Ethiopia,ETH,2022-03-01,4360.0
Fiji,FJI,2022-03-01,347.0
Finland,FIN,2022-03-01,477.0
France,FRA,2022-03-01,963.0
French Polynesia,PYF,2022-03-01,6360.0
Gabon,GAB,2022-03-01,41.0
Gambia,GMB,2022-03-01,20.0
Georgia,GEO,2022-03-01,614.0
Germany,DEU,2022-03-01,1206.0
Gibraltar,GIB,2022-03-01,1573.0
Greece,GRC,2022-03-01,1875.0
Greenland,GRL,2022-03-01,35.0
Grenada,GRD,2022-03-01,425.0
Guatemala,GTM,2022-03-01,2612.0
Guernsey,GGY,2022-03-01,710.0
Guinea,GIN,2022-03-01,4536.0
Guinea-Bissau,GNB,2022-03-01,52.0
Guyana,GUY,2022-03-01,1329.0
Haiti,HTI,2022-03-01,46.0
Honduras,HND,2022-03-01,4336.0
Hong Kong,HKG,2022-03-01,10994.0
Hungary,HUN,2022-03-01,476.0
Iceland,ISL,2022-03-01,849.0
India,IND,2022-03-01,1758.0
Indonesia,IDN,2022-03-01,2495.0
Iran,IRN,2022-03-01,2784.0
Iraq,IRQ,2022-03-01,892.0
Ireland,IRL,2022-03-01,962.0
Isle of Man,IMN,2022-03-01,1042.0
Israel,ISR,2022-03-01,168.0
Italy,ITA,2022-03-01,1800.0
Jamaica,JAM,2022-03-01,583.0
Japan,JPN,2022-03-01,7815.0
Jersey,JEY,2022-03-01,970.0
Jordan,JOR,2022-03-01,1981.0
Kazakhstan,KAZ,2022-03-01,1217.0
Kenya,KEN,2022-03-01,1146.0
Kiribati,KIR,2022-03-01,1862.0
Kosovo,OWID_KOS,2022-03-01,423.0
Kuwait,KWT,2022-03-01,1770.0
Kyrgyzstan,KGZ,2022-03-01,1295.0
Laos,LAO,2022-03-01,2670.0
Latvia,LVA,2022-03-01,726.0
Lebanon,LBN,2022-03-01,1152.0
Lesotho,LSO,2022-03-01,629.0
Liberia,LBR,2022-03-01,487.0
Libya,LBY,2022-03-01,972.0
Liechtenstein,LIE,2022-03-01,0.0
Lithuania,LTU,2022-03-01,252.0
Luxembourg,LUX,2022-03-01,1035.0
Macao,MAC,2022-03-01,6328.0
Madagascar,MDG,2022-03-01,121.0
Malawi,MWI,2022-03-01,195.0
Malaysia,MYS,2022-03-01,3790.0
Maldives,MDV,2022-03-01,2912.0
Mali,MLI,2022-03-01,636.0
Malta,MLT,2022-03-01,1273.0
Mauritania,MRT,2022-03-01,1315.0
Mauritius,MUS,2022-03-01,4606.0
Mexico,MEX,2022-03-01,3820.0
Moldova,MDA,2022-03-01,963.0
Mongolia,MNG,2022-03-01,243.0
Montenegro,MNE,2022-03-01,355.0
Montserrat,MSR,2022-03-01,803.0
Morocco,MAR,2022-03-01,883.0
Mozambique,MOZ,2022-03-01,9781.0
Myanmar,MMR,2022-03-01,1244.0
Namibia,NAM,2022-03-01,194.0
Nauru,NRU,2022-03-01,2483.0
Nepal,NPL,2022-03-01,3662.0
Netherlands,NLD,2022-03-01,423.0
New Caledonia,NCL,2022-03-01,347.0
New Zealand,NZL,2022-03-01,5318.0
Nicaragua,NIC,2022-03-01,2613.0
Niger,NER,2022-03-01,1503.0
Nigeria,NGA,2022-03-01,846.0
Niue,NIU,2022-03-01,8674.0
North Macedonia,MKD,2022-03-01,230.0
Northern Ireland,OWID_NIR,2022-03-01,781.0
Norway,NOR,2022-03-01,464.0
Oman,OMN,2022-03-01,1474.0
Pakistan,PAK,2022-03-01,3129.0
Palestine,PSE,2022-03-01,721.0
Panama,PAN,2022-03-01,2574.0
Papua New Guinea,PNG,2022-03-01,96.0
Paraguay,PRY,2022-03-01,1650.0
Peru,PER,2022-03-01,5631.0
